Was,Kategorie,Wochentag,Rhythmus,Uhrzeit_Start,Uhrzeit_Ende,Wo,Koordinaten,Wer,Link,Werbegrafik?,inaktiv?,Letzte_Ueberpruefung,Kommentar,Kontakt
Spieleabend,begegnen,1 Montag,jeden 2. im Monat,18:30,22:00,Annastraße 40. 39108 Magdeburg,52.1285000/11.6096923,ERNAs LebensMittelPunkt.,https://ernas-lebensmittelpunkt.de/veranstaltungen.php,No,,07.03.2025,,
Trost-Café,begegnen,2 Dienstag,jeden 2. im Monat,14:30,15:30,Othrichstraße 30. 39128 Magdeburg,52.1531955/11.6157107,Nachbarschaftszentrum Neue Wege e. V.,https://www.neue-wege-md.de/angebote/,,,03.12.2025,,
Mediation im Kiez,begegnen,2 Dienstag,wöchentlich,17:00,19:00,-- derzeit im Umzug --,Umzug,platz*machen,https://platzmachen.org/projekte/mediation-im-kiez/,,inaktiv,03.12.2025,,
Spieleabend,begegnen,3 Mittwoch,jeden 3. Mi im Monat,17:00,19:00,Maxim-Gorki-Straße 41. 39108 Magdeburg,52.1308973/11.6131598,"Stadtteilladen ""Mitmischen"" ",https://mitmischen-md.de/,Yes,inaktiv,25.09.2025,,kontakt@mitmischen-md.de
Begegnungscafé,begegnen,3 Mittwoch,wöchentlich,18:00,20:00,-- derzeit im Umzug --,Umzug,platz*machen,https://platzmachen.org/projekte/begegnungscafe/,,inaktiv,03.12.2025,,
Spieleabend,begegnen,4 Donnerstag,alle zwei Wochen,17:00,open end,Breiter Weg 32-34. 39104 Magdeburg,52.1352507/11.6388062,In:takt,https://intakt-magdeburg.de/kalender/,No,,25.09.2025,,
Filmvorführung “KiezLichter”,begegnen,4 Donnerstag,wöchentlich,15:00,17:00,-- derzeit im Umzug --,Umzug,platz*machen,https://platzmachen.org/projekte/kiez-cafe-platz-kuchen/,,inaktiv,03.12.2025,,
Kiez-Café: Platz & Kuchen,begegnen,4 Donnerstag,wöchentlich,15:00,17:00,-- derzeit im Umzug --,Umzug,platz*machen,https://platzmachen.org/projekte/kiez-cafe-platz-kuchen/,,inaktiv,03.12.2025,,
Stammtisch zu Themen der Selbstbestimmung im Internet,begegnen,5 Freitag,jeden 2. im Monat,19:30,21:00,Leibnizstraße 32 (Netz 39 e.V.). 39104 Magdeburg,52.1195815/11.6291518,Softwerke Magdeburg e. V.,https://softwerke.md,No,aktiv,25.09.2025,,
veganer Stammtisch (mit Mitbring-Buffet),begegnen,7 Sonntag,Jeden 1. im Monat,15:00,18:00,Maxim-Gorki-Straße 40. 39108 Magdeburg,52.1308973/11.6131598,"Stadtteilladen ""Mitmischen"" ",https://www.instagram.com/vegantreff.md/,,,03.12.2025,,
Nachbarschaftsbrunch,begegnen,7 Sonntag,Jeden 1. im Monat,11:00,14:00,-- derzeit im Umzug --,Umzug,platz*machen,https://platzmachen.org/projekte/nachbarschaftsbrunch/,,inaktiv,03.12.2025,,
"Ökogarten (Streuobst, Platz, freie Beete)",begegnen,8 wenn geöffnet,immer (drinnen),,,Klosterwuhne 27. 39124 Magdeburg,52.165516/11.639293,BUND-Kreisgruppe Magdeburg,https://www.bund-sachsen-anhalt.com/service/termine/detail/event/garteneinsaetze-bund-oekogarten-magdeburg/,,,03.12.2025,,
Kletter-Ausflüge und Wanderungen,begegnen,8 wenn geöffnet,immer (drinnen),,,Neustädter Straße 6. 39104 Magdeburg,52.134031/11.645950,Evangelische Studierendengemeinde Magdeburg ESG,https://esgm.ekmd-online.de/kontakt/raumplan/,,,03.12.2025,,
offener Raum für dich,begegnen,8 wenn geöffnet,immer (drinnen),00:00,23:59,-- derzeit im Umzug --,Umzug,platz*machen,https://platzmachen.org/projekte/tacheles/,,inaktiv,03.12.2025,,
