Was,Kategorie,Unterkategorie,Nutzung,Wochentag,Rhythmus,Uhrzeit_Start,Uhrzeit_Ende,Wo,Koordinaten,Wer,Link,Werbegrafik,inaktiv,Letzte_Ueberpruefung,Kommentar,Kontakt,Telefonnummer,Kurzbeschreibung
Kletter-Ausflüge und Wanderungen,begegnung,aktion,vor Ort,4 wenn geöffnet,immer (draußen),,,Neustädter Straße 6. 39104 Magdeburg,52.134031/11.645950,Evangelische Studierendengemeinde Magdeburg ESG,https://esgm.ekmd-online.de/kontakt/raumplan/,,,03.12.2025,,kontakt@platzmachen.org,,
"Ökogarten (Streuobst, Platz, freie Beete)",begegnung,,vor Ort,4 wenn geöffnet,immer (drinnen),,,Klosterwuhne 27. 39124 Magdeburg,52.165516/11.639293,BUND-Kreisgruppe Magdeburg,https://www.bund-sachsen-anhalt.com/service/termine/detail/event/garteneinsaetze-bund-oekogarten-magdeburg/,,,03.12.2025,,,mail@hartmut-koblischke.de,
Spieleabend,begegnung,spielen,vor Ort,51 Montag,jeden 2. im Monat,18:30,22:00,Annastraße 40. 39108 Magdeburg,52.1285000/11.6096923,ERNAs LebensMittelPunkt.,https://ernas-lebensmittelpunkt.de/veranstaltungen.php,No,,07.03.2025,,info@esg-magdeburg.de,,
Trost-Café,begegnung,,vor Ort,52 Dienstag,jeden 2. im Monat,14:30,15:30,Othrichstraße 30. 39128 Magdeburg,52.1531955/11.6157107,Nachbarschaftszentrum Neue Wege e. V.,https://www.neue-wege-md.de/angebote/,,,03.12.2025,,kontakt@platzmachen.org,,
Mediation im Kiez,begegnung,,nehmen,52 Dienstag,wöchentlich,17:00,19:00,-- derzeit im Umzug --,Umzug,platz*machen e. V.,https://platzmachen.org/projekte/mediation-im-kiez/,,inaktiv,03.12.2025,,,,
Spieleabend,begegnung,spielen,vor Ort,53 Mittwoch,jeden 3. Mi im Monat,17:00,19:00,Maxim-Gorki-Straße 40. 39108 Magdeburg,52.1308973/11.6131598,Stadtteilladen „Mitmischen“ ,https://mitmischen-md.de/,Yes,inaktiv,25.09.2025,,kontakt@platzmachen.org,,
Begegnungscafé,begegnung,,vor Ort,53 Mittwoch,wöchentlich,18:00,20:00,-- derzeit im Umzug --,Umzug,platz*machen e. V.,https://platzmachen.org/projekte/begegnungscafe/,,inaktiv,03.12.2025,,info@ernas-lebensmittelpunkt.de,,
Spieleabend,begegnung,spielen,vor Ort,54 Donnerstag,alle zwei Wochen,17:00,open end,Breiter Weg 32-34. 39104 Magdeburg,52.1352507/11.6388062,in:takt,https://intakt-magdeburg.de/kalender/,No,,25.09.2025,,info@neue-wege-md.de,,
Filmvorführung „KiezLichter“,begegnung,aktion,vor Ort,54 Donnerstag,wöchentlich,15:00,17:00,-- derzeit im Umzug --,Umzug,platz*machen e. V.,https://platzmachen.org/projekte/kiez-cafe-platz-kuchen/,,inaktiv,03.12.2025,,intakt@ovgu.de,,
Kiez-Café: Platz & Kuchen,begegnung,essen,vor Ort,54 Donnerstag,wöchentlich,15:00,17:00,-- derzeit im Umzug --,Umzug,platz*machen e. V.,https://platzmachen.org/projekte/kiez-cafe-platz-kuchen/,,inaktiv,03.12.2025,,vorstand@bund-md.net,,
Stammtisch zu Themen der Selbstbestimmung im Internet,begegnung,,vor Ort,55 Freitag,jeden 2. im Monat,19:30,21:00,Leibnizstraße 32 (Netz 39 e. V.). 39104 Magdeburg,52.1195815/11.6291518,Softwerke Magdeburg e. V.,https://softwerke.md,No,aktiv,25.09.2025,,kontakt@platzmachen.org,,
Nachbarschaftsbrunch,begegnung,essen,vor Ort,57 Sonntag,jeden 1. im Monat,11:00,14:00,-- derzeit im Umzug --,Umzug,platz*machen e. V.,https://platzmachen.org/projekte/nachbarschaftsbrunch/,,inaktiv,03.12.2025,,kontakt@mitmischen-md.de,,
veganer Stammtisch (mit Mitbring-Buffet),begegnung,essen,vor Ort,57 Sonntag,jeden 1. im Monat,15:00,18:00,Maxim-Gorki-Straße 40. 39108 Magdeburg,52.1308973/11.6131598,Stadtteilladen „Mitmischen“ ,https://www.instagram.com/vegantreff.md/,,,03.12.2025,bitte vorher anmelden,kontakt@platzmachen.org,,
handverlesene Events aus Magdeburg,digitales,aktion,nehmen,1 alle Tage,immer (online),00:00,23:59,mehrere Orte,Internet,Magdeboogie,https://magdeboogie.de/,,,20.1.2026,,redaktion@magdeboogie.de,,
Radweg-Melder Magdeburg,digitales,mobilitaet,geben,1 alle Tage,immer (online),00:00,23:59,mehrere Orte,Internet,ADFC Magdeburg,https://adfc-magdeburg.de/radwegmelder/,,,20.1.2026,,kontakt@adfc-magdeburg.de,,
Austausch-Raum zum Suchen & Bieten,digitales,schenken,geben; nehmen,1 alle Tage,immer (online),00:00,23:59,https://t.me/+kzsVt2VqDyw3MWM6,Internet,sharing is caring Magdeburg,https://t.me/sharinginmagdeburg,,,03.12.2025,,,,
Beteiligungsportal,digitales,,geben,1 alle Tage,immer (online),00:00,23:59,mehrere Orte,Internet,Landeshauptstadt Magdeburg,https://beteiligung.sachsen-anhalt.de/portal/magdeburg/startseite,,,20.1.2026,,info@magdeburg.de,,
FOSS-Dienste ausprobieren,digitales,,nehmen,1 alle Tage,immer (online),00:00,23:59,,Internet,Softwerke Magdeburg e. V.,https://softwerke.md,,,20.1.2026,mit Account,kontakt@softwerke.md,,
Containering-Infos,lebensmittel,retten,geben; nehmen,1 alle Tage,immer (draußen),00:00,23:59,mehrere Orte,Internet,siehe Website,https://dumpstermap.org,,,03.12.2025,,,,
Ernte-Orte,lebensmittel,retten,geben; nehmen,1 alle Tage,immer (draußen),00:00,23:59,mehrere Orte,Internet,siehe Website,https://mundraub.org,,,03.12.2025,,,,
Lebensmittel-Rettung,lebensmittel,retten,nehmen,1 alle Tage,immer (draußen),00:00,23:59,mehrere Orte,Internet,foodsharing Magdeburg,https://foodsharing.de/region/magdeburg,,,03.12.2025,,magdeburg@foodsharing.network,,
Lebensmittel-Rettung (Spende) an die Tafel,lebensmittel,schenken,geben,1 alle Tage,nach Absprache,00:00,23:59,Karl-Schmidt-Straße 9–11. 39104 Magdeburg,52.1057554/11.6374457,AQB gGmbH,https://aqb-md.de/die-tafel-magdeburg/,,,03.12.2025,"Lebensmittelspenden unterliegen bestimmten Bedingungen, bitte vor der Abgabe anrufen: 039172726100",info@aqb-md.de,,
Tafel-Station: Lebensmittel-Ausgabe & Mittagsversorgung,lebensmittel,essen,nehmen,2 werktags,wöchentlich,10:00,11:00,Karl-Schmidt-Straße 9–11. 39104 Magdeburg,52.1057554/11.6374457,AQB gGmbH,https://aqb-md.de/standorte-der-tafel-magdeburg/,,,03.12.2025,,info@aqb-md.de,,
