Was,Kategorie,Unterkategorie,Nutzung,Wochentag,Rhythmus,Uhrzeit_Start,Uhrzeit_Ende,Wo,Koordinaten,Wer,Link,Werbegrafik,inaktiv,Letzte_Ueberpruefung,Kommentar,Kontakt,Telefonnummer_intern,Kurzbeschreibung,ist_Kopie
Austausch-Raum zum Suchen & Bieten,digitales,,geben; nehmen,1 alle Tage,immer (online),00:00,23:59,https://t.me/+kzsVt2VqDyw3MWM6,Internet,sharing is caring Magdeburg,https://t.me/sharinginmagdeburg,,,03.12.2025,,,,,nein
AWO-Kleiderkammer (Kleiderspende-Annahme und -Ausgabe),ressourcen,textilien,geben; nehmen,2 werktags,wöchentlich,09:00,12:00,Thiemstraße 12. 39104 Magdeburg,52.1060948/11.6383272,AWO Kreisverband Magdeburg e. V.,https://www.integrationshilfe-lsa.org/freiwilliges-engangement/,,inaktiv,15.02.2026,,beratung@awo-kv-magdeburg.de,,,nein
AWO-Kleiderkammer (Kleiderspende-Annahme und -Ausgabe),ressourcen,textilien,geben; nehmen,"52 Dienstag; 
53 Mittwoch; 
54 Donnerstag",wöchentlich,13:00,15:00,Thiemstraße 12. 39104 Magdeburg,52.1060948/11.6383272,AWO Kreisverband Magdeburg e. V.,https://www.integrationshilfe-lsa.org/freiwilliges-engangement/,,inaktiv,15.02.2026,,beratung@awo-kv-magdeburg.de,,,ja
Baby- und Kleinkindshop „Das Lädchen/Vom Kind für’s Kind“ (Spenden & sozialer Verkauf),ressourcen,textilien,geben; nehmen,2 werktags,wöchentlich,10:00,13:00,Karl-Schmidt-Straße 4. 39104 Magdeburg,52.1069159/11.6368694,Stiftung netzwerk leben,https://www.netzwerkleben.de/konkret-vor-ort/das-laedchen,,,03.12.2025,,post@netzwerkleben.de,,,nein
Baby- und Kleinkindshop „Das Lädchen/Vom Kind für’s Kind“ (Spenden & sozialer Verkauf),ressourcen,textilien,geben; nehmen,2 werktags,wöchentlich,15:00,17:00,Karl-Schmidt-Straße 4. 39104 Magdeburg,52.1069159/11.6368694,Stiftung netzwerk leben,https://www.netzwerkleben.de/konkret-vor-ort/das-laedchen,,,03.12.2025,,post@netzwerkleben.de,,,ja
Begegnungscafé,begegnung,,vor Ort,53 Mittwoch,wöchentlich,18:00,20:00,Am Sudenburger Tor 5. 39104 Magdeburg,52.1195156/11.6239075,platz*machen e. V.,https://platzmachen.org/projekte/begegnungscafe/,,inaktiv,03.12.2025,,info@ernas-lebensmittelpunkt.de,,,nein
Beteiligungsportal,digitales,,geben,1 alle Tage,immer (online),00:00,23:59,mehrere Orte,Internet,Landeshauptstadt Magdeburg,https://beteiligung.sachsen-anhalt.de/portal/magdeburg/startseite,,,20.1.2026,,info@magdeburg.de,,,nein
Bibliothek,ressourcen,medien,leihen,52 Dienstag,wöchentlich,17:00,19:00,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,Libertäres Zentrum Magdeburg,https://libertaeres-zentrum-md.org/index.php/bibliothek/,,,03.12.2025,,liz-md@riseup.net,,,nein
Bücherkiste „Einsteinstraße“,ressourcen,medien,geben; nehmen,2 werktags,wöchentlich,09:00,17:00,Einsteinstraße 9. 39104 Magdeburg,52.1212113/11.6292476,Freiwilligenagentur Magdeburg,https://www.magdebuch.de/portfolio-items/buecherkiste-einsteinstrasse/,,,03.12.2025,,info@freiwilligenagentur-magdeburg.de,,,nein
Bücherschrank „Buckau“,ressourcen,medien,geben; nehmen,1 alle Tage,immer (draußen),00:00,23:59,"Platz zwischen Thiemstraße und Köthener Straße, Thiemstraße 5. 39104 Magdeburg",52.1063155/11.6391302,Literaturhaus Magdeburg/AQB gGmbH,https://www.magdebuch.de/portfolio-items/buecherschrank-buckau/,,,03.12.2025,,"info@literaturhaus-magdeburg.de;
info@aqb-md.de",,,nein
Bücherschrank „Stadtfeld-West“,ressourcen,medien,geben; nehmen,1 alle Tage,immer (draußen),00:00,23:59,Johannes-Schlaf-Straße 10. 39110 Magdeburg,52.1308194/11.5808246,Rand und Band e. V. im Uncrowd Kollektivhaus,https://www.magdebuch.de/portfolio-items/buecherschrank-stadtfeld-west/,,,03.12.2025,,kontakt@uncrowd-home.org,,,nein
Bücherspende-Annahme,ressourcen,moebel,geben,0 wenn geöffnet (variiert),immer (drinnen),,,Breiter Weg 109. 39104 Magdeburg,52.1139405/11.6103131,Stadt-Bibliothek Zentrale,https://stadtbibliothek.magdeburg.de/,,,03.12.2025,nur nach vorheriger Absprache per E-Mail oder Telefon (0391-5404854),stadtbibliothek@magdeburg.de,,,nein
Büchertausch-Regal,ressourcen,medien,geben; nehmen,2 werktags,immer (drinnen),10:00,18:30,Annastraße 40. 39108 Magdeburg,52.1285000/11.6096923,ERNAs LebensMittelPunkt.,https://ernas-lebensmittelpunkt.de/,,,03.12.2025,,info@ernas-lebensmittelpunkt.de,,,nein
Büchertausch-Regal,ressourcen,medien,geben; nehmen,2 werktags,immer (drinnen),09:00,13:00,"Eingangsbereich, Othrichstraße 30. 39128 Magdeburg",52.1531955/11.6157107,Nachbarschaftszentrum Neue Wege e. V.,https://www.neue-wege-md.de/angebote/,,,03.12.2025,,info@neue-wege-md.de,,,nein
Büchertausch-Regal,ressourcen,medien,geben; nehmen,56 Samstag,immer (drinnen),10:00,14:00,Annastraße 40. 39108 Magdeburg,52.1285000/11.6096923,ERNAs LebensMittelPunkt.,https://ernas-lebensmittelpunkt.de/,,,03.12.2025,,info@ernas-lebensmittelpunkt.de,,,ja
Büchertausch-Schrank,ressourcen,medien,geben; nehmen,0 wenn geöffnet (variiert),immer (drinnen),10:00,19:00,Carl-Miller-Straße. 39112 Magdeburg,52.117172/11.622443,Carl-Miller-Bad,https://www.literaturhaus-magdeburg.de/neuigkeiten/buckau-hat-seit-april-einen-neuen-bucherschrank,,,03.12.2025,,"info@literaturhaus-magdeburg.de; 
info@freiwilligenagentur-magdeburg.de",,,nein
Büchertausch-Schrank „Altstadt“,ressourcen,medien,geben; nehmen,1 alle Tage,immer (draußen),0:00,23:59,Jakobstraße Ecke Martin-Luther-Platz. 39104 Magdeburg,52.130867422907826/11.640054642863632,Literaturhaus Magdeburg/Freiwilligenagentur Magdeburg,https://www.magdebuch.de/portfolio-items/buecherschrank-altstadt/,,,03.03.2026,,"info@literaturhaus-magdeburg.de; 
info@freiwilligenagentur-magdeburg.de;
altstadt@md-gwa.de",,,nein
Büchertausch-Schrank „Lesezeichen Salbke“,ressourcen,medien,geben; nehmen,52 Dienstag,wöchentlich,17:00,19:00,Alt Salbke 50. 39122 Magdeburg,52.0720028/11.6704513,Bürgerbibliothek Salbker Lesezeichen,http://www.bv-swf.de/?page_id=7,,,03.12.2025,,verein@bv-swf.de,,,nein
Büchertausch-Schrank „Lesezeichen Salbke“,ressourcen,medien,geben; nehmen,53 Mittwoch,wöchentlich,9:30,12:30,Alt Salbke 50. 39122 Magdeburg,52.0720028/11.6704513,Bürgerbibliothek Salbker Lesezeichen,http://www.bv-swf.de/?page_id=7,,,03.12.2025,,verein@bv-swf.de,,,ja
Büchertausch-Schrank „Lesezeichen Salbke“,ressourcen,medien,geben; nehmen,55 Freitag,wöchentlich,9:30,12:30,Alt Salbke 50. 39122 Magdeburg,52.0720028/11.6704513,Bürgerbibliothek Salbker Lesezeichen,http://www.bv-swf.de/?page_id=7,,,03.12.2025,,verein@bv-swf.de,,,ja
Büchertausch-Schrank „Lesezeichen Salbke“,ressourcen,medien,geben; nehmen,54 Donnerstag,wöchentlich,14:00,17:00,Alt Salbke 50. 39122 Magdeburg,52.0720028/11.6704513,Bürgerbibliothek Salbker Lesezeichen,http://www.bv-swf.de/?page_id=7,,,03.12.2025,,verein@bv-swf.de,,,ja
Büchertausch-Schrank „Werder“,ressourcen,medien,geben; nehmen,1 alle Tage,immer (draußen),0:00,23:59,"Lingnerstraße Ecke Oststraße, Lingnerstraße 6. 39114 Magdeburg",52.13143275801078/11.653827749289146,Literaturhaus Magdeburg/Freiwilligenagentur Magdeburg,https://www.magdebuch.de/portfolio-items/buecherschrank-werder/,buecherschrank-werder.jpg,,03.03.2026,,"info@literaturhaus-magdeburg.de; 
info@freiwilligenagentur-magdeburg.de;
werder@md-gwa.de",,,nein
Büchertausch-Telefonzelle,ressourcen,medien,geben; nehmen,1 alle Tage,immer (draußen),00:00,23:59,Breitscheidstraße 2. 39114 Magdeburg,52.1409233/11.6734589,"Campus Herrenkrug, Garten der Hochschulbibliothek",https://de.wikipedia.org/wiki/Liste_%C3%B6ffentlicher_B%C3%BCcherschr%C3%A4nke_in_Sachsen-Anhalt,,,03.12.2025,,,,,nein
Büchertausch-Telefonzelle,ressourcen,medien,geben; nehmen,0 wenn geöffnet (variiert),immer (draußen),00:00,23:59,Moritzplatz 1. 39124 Magdeburg,52.1558847/11.6323887,Kulturzentrum Moritzhof,https://de.wikipedia.org/wiki/Liste_%C3%B6ffentlicher_B%C3%BCcherschr%C3%A4nke_in_Sachsen-Anhalt,No,,03.12.2025,,,,,nein
Bücherverschenke-Regal,ressourcen,medien,geben; nehmen,56 Samstag,immer (drinnen),10:00,18:00,"Foyer, Universitätsplatz 2. 39106 Magdeburg",52.139181/11.646870,Universitätsbibliothek Magdeburg,https://de.wikipedia.org/wiki/Liste_%C3%B6ffentlicher_B%C3%BCcherschr%C3%A4nke_in_Sachsen-Anhalt,,,03.12.2025,,,,,ja
Bücherverschenke-Regal,ressourcen,medien,geben; nehmen,2 werktags,immer (drinnen),08:00,21:00,"Foyer, Universitätsplatz 2. 39106 Magdeburg",52.139181/11.646870,Universitätsbibliothek Magdeburg,https://de.wikipedia.org/wiki/Liste_%C3%B6ffentlicher_B%C3%BCcherschr%C3%A4nke_in_Sachsen-Anhalt,,,03.12.2025,,,,,nein
Bücherverschenke-Regal,ressourcen,medien,geben; nehmen,57 Sonntag,immer (drinnen),10:00,18:00,"Foyer, Universitätsplatz 2. 39106 Magdeburg",52.139181/11.646870,Universitätsbibliothek Magdeburg,https://de.wikipedia.org/wiki/Liste_%C3%B6ffentlicher_B%C3%BCcherschr%C3%A4nke_in_Sachsen-Anhalt,,,03.12.2025,Achtung: nur in der Prüfungszeit!,,,,ja
Buckauer KüfA (Küche für Alle),lebensmittel,Essenausgabe,nehmen,55 Freitag,wöchentlich,18:00,20:00,Thiemstraße 13. 39104 Magdeburg,52.1060948/11.6383272,kollekTHIEM & KlinkA,https://kollekthiem.de/aktuelles/,,,03.12.2025,im Winter ab 17 Uhr,info@thiembuktu.de,,,nein
Containering-Infos,lebensmittel,retten,geben; nehmen,1 alle Tage,immer (draußen),00:00,23:59,mehrere Orte,Internet,siehe Website,https://dumpstermap.org,,,03.12.2025,,,,,nein
D.I.Y.-Selbsthilfe- und -Fahrradwerkstatt,ressourcen,werkstatt,vor Ort,52 Dienstag,wöchentlich,14:00,18:00,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,Libertäres Zentrum Magdeburg,https://libertaeres-zentrum-md.org/index.php/veranstaltungen/,No,,25.09.2025,,liz-md@riseup.net,,,nein
DRK-Kleiderkammer,ressourcen,textilien,nehmen,"51 Montag; 
53 Mittwoch; 
55 Freitag",wöchentlich,09:00,13:00,Ferdinand-von-Schill-Straße 33. 39116 Magdeburg,52.106184/11.583906,Deutsches Rotes Kreuz Regionalverband Magdeburg – Jerichower Land e. V.,https://www.drk-mdjl.de/angebote/existenzsichernde-hilfe/kleiderkammern.html,,,03.12.2025,,b.goehring@drk-mdjl.de,,,nein
DRK-Kleiderkammer,ressourcen,textilien,nehmen,"52 Dienstag; 
54 Donnerstag",wöchentlich,12:00,15:00,Ferdinand-von-Schill-Straße 33. 39116 Magdeburg,52.106184/11.583906,Deutsches Rotes Kreuz Regionalverband Magdeburg – Jerichower Land e. V.,https://www.drk-mdjl.de/angebote/existenzsichernde-hilfe/kleiderkammern.html,,,03.12.2025,,b.goehring@drk-mdjl.de,,,ja
DRK-Suppenküche,lebensmittel,Essenausgabe,nehmen,2 werktags,wöchentlich,08:00,14:00,Ferdinand-von-Schill-Straße 33. 39116 Magdeburg,52.106184/11.583906,Deutsches Rotes Kreuz Regionalverband Magdeburg – Jerichower Land e. V.,https://www.drk-mdjl.de/angebote/existenzsichernde-hilfe/waermestuben.html,,,03.12.2025,im Winter ab 7:30 Uhr,,,,nein
Ernte-Orte,lebensmittel,retten,geben; nehmen,1 alle Tage,immer (draußen),00:00,23:59,mehrere Orte,Internet,siehe Website,https://mundraub.org,,,03.12.2025,,,,,nein
