Was,Eventtyp,Wochentag,Rhythmus,Uhrzeit_Start,Uhrzeit_Ende,Uhrzeit,Wo,Wer,Link,Werbegrafik?,Letzte_Ueberpruefung,Kommentar
KüfA,Essen,0 AlleTage,wöchentlich,17:00,19:00,17:00  -  19:00,Alt Salbke 144,LiZ,https://libertaeres-zentrum-md.org/,Yes,"December 6, 2022",
D.I.Y. Selbsthilfe- und Fahrradwerkstatt,Reparieren,2 Dienstag,wöchentlich,14:00,18:00,14:00  -  18:00,Alt Salbke 144,LiZ,https://libertaeres-zentrum-md.org/index.php/termine/,No,"November 18, 2022",
Begegnungscafé,Begegnen,3 Mittwoch,2-wöchentlich (gerade),18:00,20:00,18:00  -  20:00,Sternstraße 30,platz*machen,https://platzmachen.org/events,No,"November 18, 2022",Rhythmus korrekt?
KüfA: Kiezkantine,Essen,3 Mittwoch,jeden 2. & 4. im Monat,17:00,19:00,17:00  -  19:00,,mitmischen,https://mitmischen-md.de/,Yes,"November 18, 2022",
Spieleabend,Begegnen,3 Mittwoch,jeden 3. Mi im Monat,17:00,19:00,17:00  -  19:00,,mitmischen,https://mitmischen-md.de/,Yes,"November 18, 2022",
"KüfA: Kiez Café ""Platz & Kuchen""",Begegnen,4 Donnerstag,wöchentlich,15:00,17:00,15:00  -  17:00,Sternstraße 30,platz*machen,https://platzmachen.org/events,No,"November 18, 2022",
Fahrrad-Selbsthilfewerkstatt PaRADies,Reparieren,4 Donnerstag,wöchentlich,15:30,17:30,15:30  -  17:30,Sternstraße 30,platz*machen,https://platzmachen.org/events,No,"November 18, 2022",
"Kritische Bibliothek: ""Zusammen Gebunden""",Bücher,4 Donnerstag,wöchentlich,17:00,19:00,17:00  -  19:00,Sternstraße 30,platz*machen,https://platzmachen.org/events,No,"November 18, 2022",
Begegnungscafé,Begegnen,4 Donnerstag,2-wöchentlich (gerade),17:30,19:00,17:30  -  19:00,Sternstraße 30,platz*machen,https://platzmachen.org/events,No,"November 18, 2022",Rhythmus korrekt?; Begegnungscafé von platz*machen oder einer anderen Gruppe?
KüfA: KochFreiTag,Essen,5 Freitag,jeden 1. & 3. im Monat,18:00,20:00,18:00  -  20:00,Thiemstraße 13,Thiembuktu,https://thiembuktu.de/koch-frei-tag/,Yes,"November 18, 2022",Mithilfe gesucht: https://pad.riseup.net/p/KochFreiTagThiembuktu-keep
Tacheles! Offener Raum,Begegnen,5 Freitag,wöchentlich,19:30,24:00,19:30  -  24:00,Sternstraße 30,platz*machen,https://platzmachen.org/events,No,"November 18, 2022",
KüfA,Essen,6 Samstag,wöchentlich,16:00,20:00,16:00  -  20:00,Sternstraße 30,platz*machen,https://platzmachen.org/events,No,"November 18, 2022",
Spieleabend,Begegnen,7 Sonntag,wöchentlich,18:00,open end,18:00  -  open end,Breiter Weg 32-34,intakt,https://intakt-magdeburg.de/kalender/,No,"November 20, 2022",
Repair Café,Reparieren,3 Mittwoch,wöchentlich,15:00,16:45,15:00  -  16:45,,1.Repair Café -MD,https://www.repaircafe-md.de/,No,"November 21, 2022",
